Project Name,City,State,ZIP Code,Project Type,Products Used,Product Category,Annual Energy Savings (kWh/Yr),Annual Cost Savings ($),Fixtures Commissioned,Improved Lighting Levels,Maintenance Savings ($),Images,Description,Challenge,Resolution,Latitude,Longitude
Adams County Justice Center,Brighton,Colorado,80601,Indoor - Municipal,LED Retrofit Luminaires + Advanced Controls,Interior Retrofit Lighting,"1,408,930+","$103,556+",4845,80%,-,Picture,"The Adams County Justice Center completed a comprehensive LED lighting retrofit replacing outdated fluorescent and CFL systems across offices, corridors, stairwells, and public areas to improve energy efficiency and lighting quality.","The existing lighting system caused uneven illumination, inconsistent brightness, and high energy consumption. Limited lighting controls increased maintenance requirements and reduced visual comfort.",IKIO delivered a customized LED retrofit using high-performance luminaires and advanced controls to improve lighting uniformity and reduce energy use while ensuring minimal disruption during installation.,39.943,-104.7866
String Theory Charter School,Philadelphia,Pennsylvania,19130,Indoor - Education,High-CRI Flat Panels + Motion-Controlled Strip Lights,Interior Education Lighting,"151,718","$11,151+",372,74%,-,Picture,"String Theory Charter School upgraded its campus lighting to improve classroom visibility, reduce maintenance, and lower energy consumption. The existing fluorescent fixtures caused glare, uneven brightness, and frequent maintenance issues, impacting both learning environments and operational efficiency","The school’s outdated lighting system delivered inconsistent illumination and high energy usage, creating discomfort for students and staff. The administration needed a modern, energyefficient solution that would enhance visual comfort while minimizing operational disruption.","IKIO implemented a comprehensive LED retrofit using high-CRI, glare-free flat panels in classrooms and motion-controlled strip lights in hallways and support areas. The upgrade provided uniform illumination, reduced energy consumption, and significantly lowered maintenance requirements, all while ensuring uninterrupted campus operations",39.9677,-75.1735
Moorhead Area School District,Moorhead,Minnesota,56560,Indoor - Education,High-Efficiency LED Fixtures + Smart Controls,Interior Education Lighting,"151,718","$11,151+",372,74%,-,Picture,"Moorhead Area Public Schools upgraded lighting across classrooms, administrative spaces, corridors, and gymnasiums by replacing aging fluorescent and HID fixtures with modern LED solutions.","The district's aging lighting systems caused uneven brightness, glare, and high energy costs. Frequent maintenance disrupted operations and increased expenses.","IKIO implemented an energy-efficient LED lighting upgrade that improved lighting quality, reduced energy usage, and simplified maintenance for long-term reliability.",46.8677,-96.7572
City of Waterville,Waterville,Maine,4901,Indoor - Municipal,High-Performance LED Luminaires + Controls,Interior Municipal Lighting,"60,249+","$4,428+",232,66.60%,-,Picture,"The City of Waterville partnered with IKIO to modernize lighting across municipal facilities, replacing outdated fixtures with energy-efficient LED solutions. The project aimed to improve illumination quality, reduce energy consumption, and lower maintenance costs while ensuring uninterrupted city operations.","The city’s aging lighting system caused uneven illumination, excessive energy usage, and frequent maintenance issues. Officials needed a reliable, costeffective upgrade that would enhance visibility, reduce operating expenses, and support sustainability goals without disrupting daily municipal activities.","IKIO delivered a customized LED retrofit featuring high-performance luminaires and advanced controls to optimize energy efficiency and lighting uniformity. The phased installation ensured continuous facility operations while providing long-term reliability, improved visual comfort, and reduced maintenance requirements across city buildings.",44.5543,-69.6178
H&M Retail Store Lighting,,,,Indoor - Retail,Marvela Series Luminaires + Alem 2 Track Lights,Retail Interior Lighting,"212,587","$15,625.15 ","1,687",61%,-,,"H&M partnered with IKIO to modernize lighting across its retail locations with minimal disruption to store operations and without a full overhaul of existing systems. The goal was to enhance illumination quality, improve energy efficiency, and integrate LED lighting seamlessly while keeping stores open throughout the retrofit.","H&M needed to upgrade outdated lighting with minimal downtime and disruption, preserve store aesthetics, and reduce energy use. The existing fixtures were inefficient and replacing the entire system would have required extensive closures and higher costs.","IKIO delivered a customized LED retrofit using easy-to-install Marvela series luminaires and Alem 2 track lights that directly replaced CFL and HID sources. The solution improved illumination quality and energy performance while allowing the use of maintenance budgets instead of purchase budgets, and was completed without interrupting normal store operations",,
LIDS Retail Store Lighting,,,,Indoor - Retail,Track Lights + Precision Engineered Luminaires,Retail Interior Lighting,"1,140,480","$83,825.28 ",396,66%,-,Picture,"LIDS partnered with IKIO to upgrade lighting across its retail locations to enhance product visibility, improve energy efficiency, and create a more engaging in-store experience. The objective was to modernize outdated fixtures while maintaining store aesthetics and ensuring uninterrupted daily operations during the retrofit process.","LIDS faced uneven illumination, glare, and inefficient lighting that failed to effectively highlight merchandise. The existing system increased energy costs and required frequent maintenance. The brand needed a cost-effective LED solution that would improve lighting quality and efficiency without disrupting store operations or altering the visual appeal of retail spaces","IKIO delivered a customized LED retrofit featuring high-performance track lights and precision-engineered luminaires designed to enhance product displays and overall store ambiance. The easy-to-install solution reduced energy consumption, improved lighting uniformity, and minimized maintenance needs, all completed seamlessly without interrupting normal business activities.",,
Sage Dental Clinic,Kissimmee,Florida,34741,Indoor - Healthcare,High-CRI Glare-Controlled LED Fixtures,Healthcare Interior Lighting,"1,973,005","$387,288 ",-,84%,"$81,037 ",,"Sage Dental partnered with IKIO to modernize lighting throughout its Kissimmee clinic, enhancing visual clarity, patient comfort, and energy efficiency. The project focused on upgrading operatories, treatment rooms, waiting areas, and support spaces with high-performance LED solutions designed for precision healthcare environments, all completed without disrupting daily clinical operations.",The clinic’s existing lighting lacked consistent brightness and visual clarity required for precise dental procedures. Uneven illumination and outdated fixtures affected both clinical accuracy and patient comfort. Sage Dental needed an energy-efficient upgrade without interrupting daily operations.,"IKIO delivered a customized LED retrofit with high-CRI, glare-controlled fixtures designed for healthcare environments. The upgrade improved lighting uniformity, enhanced comfort, and reduced energy use, all installed seamlessly to maintain uninterrupted patient care.",28.3051,-81.4242
Old National Bank,Madison,Wisconsin,53703,Indoor - Banking,Glare-Controlled LED Fixtures (Interior + Exterior),Banking Interior + Exterior Lighting,"28,054","$2,061.97 ",168,62%,-,Picture,"Old National Bank’s Madison branch partnered with IKIO to modernize lighting throughout the facility—from the ATM vestibule and exterior walkways to teller counters, offices, and executive spaces. The goal was to eliminate inconsistent illumination, enhance visual comfort, reduce energy costs, and support after-hours safety, all without disrupting daily operations.","Old National Bank faced uneven lighting, glare, and inconsistent brightness across workspaces and customer areas. The outdated system increased energy use and affected visual comfort. The bank required a modern LED upgrade that would enhance visibility, improve safety, and be completed without disrupting daily operations.","IKIO delivered a precision LED retrofit with glare-controlled fixtures tailored to each zone. The upgrade improved uniformity, reduced energy consumption, and enhanced interior and exterior safety, all installed seamlessly to maintain uninterrupted banking services.",43.0775,-89.3831
Marquette Elementary,Gary,Indiana,46402,Indoor - Education,High-Performance Educational LED Fixtures,Interior Education Lighting,"1,973,005","$387,288 ",-,84%,-,,"Marquette Elementary School partnered with IKIO to modernize lighting across classrooms, hallways, and common areas. The goal was to improve visual comfort for students and staff, enhance energy efficiency, and reduce maintenance demands—all without disrupting the school’s daily activities","The school’s outdated lighting caused uneven illumination, glare, and high energy consumption, affecting student comfort and productivity. Aging fluorescent fixtures required frequent maintenance and increased costs. Marquette Elementary needed an efficient LED upgrade that could improve lighting quality without disrupting daily school operations.","IKIO delivered a customized LED retrofit with high-performance fixtures designed for educational spaces. The upgrade provided uniform brightness, better color quality, and improved visual comfort. Installation was phased to ensure uninterrupted learning while reducing energy use and long-term maintenance needs",41.5997,-87.3385
METRO Facilities,Houston,Texas,77002,Mixed - Indoor/Outdoor Commercial,High-Efficiency Facility LED Fixtures,Commercial Facility Lighting,"5,546,526","$305,058.86 ","15,000+",71%,-,,"Eight METRO locations received comprehensive lighting upgrades from IKIO. The process included energy audits, prototyping, and layout analysis to maximize efficiency. With our end-to-end services, all sites were optimized for enhanced energy savings within just 4 months!","METRO needed a comprehensive lighting solution to improve facility illumination, eliminate dark spots, and achieve cost savings, all without disrupting operations.","Better lighting coverage was achieved using fewer easy-to-install but high-efficiency fixtures, resulting in a faster upgrade and lasting performance.",29.7594,-95.3594
